tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0120737	movie	The Lord of the Rings: The Fellowship of the Ring	The Lord of the Rings: The Fellowship of the Ring	0	2001	\N	178	Adventure,Drama,Fantasy
tt0133093	movie	The Matrix	The Matrix	0	1999	\N	136	Action,Sci-Fi
tt0166924	movie	Mulholland Dr.	Mulholland Dr.	0	2001	\N	147	Drama,Mystery,Thriller
tt0167260	movie	The Lord of the Rings: The Return of the King	The Lord of the Rings: The Return of the King	0	2003	\N	201	Action,Adventure,Drama
tt0167261	movie	The Lord of the Rings: The Two Towers	The Lord of the Rings: The Two Towers	0	2002	\N	179	Adventure,Drama,Fantasy
tt0168629	movie	Dancer in the Dark	Dancer in the Dark	0	2000	\N	140	Crime,Drama,Musical
tt0169102	movie	Lagaan: Once Upon a Time in India	Lagaan: Once Upon a Time in India	0	2001	\N	224	Adventure,Drama,Musical
tt0172495	movie	Gladiator	Gladiator	0	2000	\N	155	Action,Adventure,Drama
tt0180093	movie	Requiem for a Dream	Requiem for a Dream	0	2000	\N	102	Drama
tt0198781	movie	Monsters, Inc.	Monsters, Inc.	0	2001	\N	92	Adventure,Animation,Comedy
tt0208092	movie	Snatch	Snatch	0	2000	\N	104	Comedy,Crime
tt0209144	movie	Memento	Memento	0	2000	\N	113	Mystery,Thriller
tt0209180	movie	Sky Hook	Nebeska udica	0	2000	\N	95	Drama,War
tt0222012	movie	Hey Ram	Hey Ram	0	2000	\N	186	Crime,Drama,History
tt0242256	movie	Alai Payuthey	Alai Payuthey	0	2000	\N	156	Drama,Musical,Romance
tt0242519	movie	Chicanery	Hera Pheri	0	2000	\N	156	Action,Comedy,Crime
tt0246578	movie	Donnie Darko	Donnie Darko	0	2001	\N	113	Drama,Sci-Fi,Thriller
tt0253474	movie	The Pianist	The Pianist	0	2002	\N	150	Biography,Drama,Music
tt0264464	movie	Catch Me If You Can	Catch Me If You Can	0	2002	\N	141	Biography,Crime,Drama
tt0264476	movie	Children Underground	Children Underground	0	2001	\N	104	Documentary
tt0266543	movie	Finding Nemo	Finding Nemo	0	2003	\N	100	Adventure,Animation,Comedy
tt0266697	movie	Kill Bill: Vol. 1	Kill Bill: Vol. 1	0	2003	\N	111	Action,Crime,Thriller
tt0268978	movie	A Beautiful Mind	A Beautiful Mind	0	2001	\N	135	Biography,Drama
tt0270053	movie	Vizontele	Vizontele	0	2001	\N	110	Comedy,Drama
tt0276919	movie	Dogville	Dogville	0	2003	\N	178	Crime,Drama
tt0278736	movie	Stanley Kubrick: A Life in Pictures	Stanley Kubrick: A Life in Pictures	0	2001	\N	142	Biography,Documentary
tt0282864	movie	Promises	Promises	0	2001	\N	106	Documentary
tt0283509	movie	No Man's Land	No Man's Land	0	2001	\N	98	Drama,War
tt0287467	movie	Talk to Her	Hable con ella	0	2002	\N	112	Drama,Mystery,Romance
tt0296574	movie	Company	Company	0	2002	\N	155	Action,Crime,Drama
tt0307385	movie	Rivers and Tides: Andy Goldsworthy Working with Time	Rivers and Tides	0	2001	\N	90	Documentary
tt0309061	movie	War Photographer	War Photographer	0	2001	\N	96	Documentary,War
tt0310793	movie	Bowling for Columbine	Bowling for Columbine	0	2002	\N	120	Crime,Documentary,Drama
tt0312859	movie	A Peck on the Cheek	Kannathil Muthamittal	0	2002	\N	123	Drama,War
tt0314067	movie	Philanthropy	Filantropica	0	2002	\N	110	Comedy,Drama
tt0317705	movie	The Incredibles	The Incredibles	0	2004	\N	115	Action,Adventure,Animation
tt0317910	movie	The Fog of War: Eleven Lessons from the Life of Robert S. McNamara	The Fog of War: Eleven Lessons from the Life of Robert S. McNamara	0	2003	\N	107	Biography,Documentary,History
tt0319061	movie	Big Fish	Big Fish	0	2003	\N	125	Adventure,Drama,Fantasy
tt0319736	movie	The Legend of Bhagat Singh	The Legend of Bhagat Singh	0	2002	\N	155	Biography,Drama,History
tt0325980	movie	Pirates of the Caribbean: The Curse of the Black Pearl	Pirates of the Caribbean: The Curse of the Black Pearl	0	2003	\N	143	Action,Adventure,Fantasy
tt0327056	movie	Mystic River	Mystic River	0	2003	\N	138	Crime,Drama,Mystery
tt0329393	movie	Mr. and Mrs. Iyer	Mr. and Mrs. Iyer	0	2002	\N	120	Drama
tt0338013	movie	Eternal Sunshine of the Spotless Mind	Eternal Sunshine of the Spotless Mind	0	2004	\N	108	Drama,Romance,Sci-Fi
tt0342804	movie	My Flesh and Blood	My Flesh and Blood	0	2003	\N	83	Documentary
tt0343121	movie	Tupac: Resurrection	Tupac: Resurrection	0	2003	\N	112	Biography,Documentary,Music
tt0347048	movie	Head-On	Gegen die Wand	0	2004	\N	121	Drama,Romance
tt0347149	movie	Howl's Moving Castle	Hauru no ugoku shiro	0	2004	\N	119	Adventure,Animation,Family
tt0347779	movie	Pinjar	Pinjar: Beyond Boundaries...	0	2003	\N	188	Drama
tt0352248	movie	Cinderella Man	Cinderella Man	0	2005	\N	144	Biography,Drama,Sport
tt0358456	movie	Earthlings	Earthlings	0	2005	\N	95	Documentary,Horror
tt0361748	movie	Inglourious Basterds	Inglourious Basterds	0	2009	\N	153	Adventure,Drama,War
tt0363163	movie	Downfall	Der Untergang	0	2004	\N	156	Biography,Drama,History
tt0363510	movie	The Revolution Will Not Be Televised	Chavez: Inside the Coup	0	2003	\N	74	Documentary
tt0364569	movie	Oldboy	Oldeuboi	0	2003	\N	120	Action,Drama,Mystery
tt0364647	movie	Virumandi	Virumandi	0	2004	\N	175	Action,Drama,Romance
tt0366840	movie	The One	Okkadu	0	2003	\N	170	Action,Romance
tt0367110	movie	Swades	Swades: We, the People	0	2004	\N	210	Drama
tt0367495	movie	Anbe Sivam	Anbe Sivam	0	2003	\N	160	Adventure,Comedy,Drama
tt0368711	movie	End of the Century	End of the Century	0	2003	\N	110	Biography,Documentary,Music
tt0369702	movie	The Sea Inside	Mar adentro	0	2004	\N	125	Biography,Drama,Romance
tt0371392	movie	Watermark	Watermark	0	2003	\N	76	Crime,Drama,Mystery
tt0372784	movie	Batman Begins	Batman Begins	0	2005	\N	140	Action,Adventure,Thriller
tt0375611	movie	Black	Black	0	2005	\N	122	Drama
tt0376127	movie	The Stranger	Anniyan	0	2005	\N	181	Action,Drama,Thriller
tt0378194	movie	Kill Bill: Vol. 2	Kill Bill: Vol. 2	0	2004	\N	137	Action,Crime,Thriller
tt0378647	movie	Ramana	Ramana	0	2002	\N	140	Action,Drama
tt0379225	movie	The Corporation	The Corporation	0	2003	\N	145	Documentary,History
tt0379357	movie	Los Angeles Plays Itself	Los Angeles Plays Itself	0	2003	\N	169	Documentary,History
tt0379370	movie	Maqbool	Maqbool	0	2003	\N	132	Crime,Drama
tt0379557	movie	Touching the Void	Touching the Void	0	2003	\N	106	Adventure,Documentary,Drama
