tconst	ordering	nconst	category	job	characters
tt0120737	10	nm0761744	producer	producer	\N
tt0120737	1	nm0000704	actor	\N	["Frodo"]
tt0120737	2	nm0005212	actor	\N	["Gandalf"]
tt0120737	3	nm0089217	actor	\N	["Legolas"]
tt0120737	4	nm0000293	actor	\N	["Boromir"]
tt0120737	5	nm0001392	director	\N	\N
tt0120737	9	nm0651614	producer	producer	\N
tt0133093	1	nm0000206	actor	\N	["Neo"]
tt0133093	2	nm0000401	actor	\N	["Morpheus"]
tt0133093	3	nm0005251	actress	\N	["Trinity"]
tt0133093	4	nm0915989	actor	\N	["Agent Smith"]
tt0133093	5	nm0905154	director	\N	\N
tt0133093	6	nm0905152	director	\N	\N
tt0133093	7	nm0005428	producer	producer	\N
tt0166924	10	nm0842156	producer	producer	\N
tt0166924	1	nm0915208	actress	\N	["Betty","Diane Selwyn"]
tt0166924	2	nm0005009	actress	\N	["Rita","Camilla Rhodes"]
tt0166924	3	nm0857620	actor	\N	["Adam"]
tt0166924	4	nm0060931	actress	\N	["Irene"]
tt0166924	5	nm0000186	director	\N	\N
tt0166924	6	nm0249050	producer	producer	\N
tt0166924	7	nm0469813	producer	producer	\N
tt0166924	8	nm0688789	producer	producer	\N
tt0166924	9	nm0764963	producer	producer	\N
tt0167260	1	nm0000704	actor	\N	["Frodo"]
tt0167260	2	nm0001557	actor	\N	["Aragorn"]
tt0167260	3	nm0005212	actor	\N	["Gandalf"]
tt0167260	4	nm0089217	actor	\N	["Legolas"]
tt0167260	5	nm0001392	director	\N	\N
tt0167260	9	nm0651614	producer	producer	\N
tt0167261	10	nm0651614	producer	producer	\N
tt0167261	1	nm0000704	actor	\N	["Frodo"]
tt0167261	2	nm0005212	actor	\N	["Gandalf"]
tt0167261	3	nm0001557	actor	\N	["Aragorn"]
tt0167261	4	nm0089217	actor	\N	["Legolas"]
tt0167261	5	nm0001392	director	\N	\N
tt0168629	1	nm0001951	actress	\N	["Selma Jezkova"]
tt0168629	2	nm0000366	actress	\N	["Kathy"]
tt0168629	3	nm0001556	actor	\N	["Bill Houston"]
tt0168629	4	nm0001780	actor	\N	["Jeff"]
tt0168629	5	nm0001885	director	\N	\N
tt0168629	6	nm0934668	producer	producer	\N
tt0169102	1	nm0451148	actor	\N	["Bhuvan"]
tt0169102	2	nm0944834	actor	\N	["Bhura"]
tt0169102	3	nm0961737	actress	\N	["Gauri"]
tt0169102	4	nm0791226	actress	\N	["Elizabeth Russell"]
tt0169102	5	nm0332950	director	\N	\N
tt0172495	10	nm0926824	producer	producer	\N
tt0172495	1	nm0000128	actor	\N	["Maximus"]
tt0172495	2	nm0001618	actor	\N	["Commodus"]
tt0172495	3	nm0001567	actress	\N	["Lucilla"]
tt0172495	4	nm0001657	actor	\N	["Proximo"]
tt0172495	5	nm0000631	director	\N	\N
tt0172495	9	nm0527322	producer	producer	\N
tt0180093	1	nm0000995	actress	\N	["Sara Goldfarb"]
tt0180093	2	nm0001467	actor	\N	["Harry Goldfarb"]
tt0180093	3	nm0000124	actress	\N	["Marion Silver"]
tt0180093	4	nm0005541	actor	\N	["Tyrone C. Love"]
tt0180093	5	nm0004716	director	\N	\N
tt0180093	7	nm0914615	producer	producer	\N
tt0180093	8	nm0922279	producer	producer	\N
tt0198781	1	nm0000345	actor	\N	["Mike"]
tt0198781	2	nm0000422	actor	\N	["Sullivan"]
tt0198781	3	nm0316701	actress	\N	["Boo"]
tt0198781	4	nm0000114	actor	\N	["Randall"]
tt0198781	5	nm0230032	director	\N	\N
tt0198781	6	nm0798899	director	co-director	\N
tt0198781	7	nm0881279	director	co-director	\N
tt0208092	1	nm0005458	actor	\N	["Turkish"]
tt0208092	2	nm0000093	actor	\N	["Mickey O'Neil"]
tt0208092	3	nm0001125	actor	\N	["Franky Four Fingers"]
tt0208092	4	nm0001199	actor	\N	["Cousin Avi"]
tt0208092	5	nm0005363	director	\N	\N
tt0208092	6	nm0891216	producer	producer	\N
tt0209144	1	nm0001602	actor	\N	["Leonard"]
tt0209144	2	nm0005251	actress	\N	["Natalie"]
tt0209144	3	nm0001592	actor	\N	["Teddy"]
tt0209144	4	nm0095478	actor	\N	["Burt"]
tt0209144	5	nm0634240	director	\N	\N
tt0209144	7	nm0865189	producer	producer	\N
tt0209144	8	nm0865297	producer	producer	\N
tt0209180	1	nm0322977	actor	\N	["Kaja"]
tt0209180	2	nm0812186	actress	\N	["Tijana"]
tt0209180	3	nm0422397	actor	\N	["Turca"]
tt0209180	4	nm0958852	actress	\N	["Zozi"]
tt0209180	5	nm0759685	director	\N	\N
tt0222012	1	nm0352032	actor	\N	["Saketh Ram"]
tt0222012	2	nm0451321	actor	\N	["Amjad Ali Khan"]
tt0222012	3	nm0611552	actress	\N	["Aparna Ram"]
tt0222012	4	nm0004564	actress	\N	["Ambujam Iyengar"]
tt0242256	1	nm0534856	actor	\N	["Karthik"]
tt0242256	2	nm0787748	actress	\N	["Shakti"]
tt0242256	3	nm0841915	actress	\N	["Poorni"]
tt0242256	4	nm1002817	actor	\N	["Karthik's father"]
tt0242256	5	nm0711745	director	\N	\N
tt0242256	7	nm1131063	producer	producer	\N
tt0242519	10	nm0618897	producer	producer	\N
tt0242519	1	nm0474774	actor	\N	["Raju"]
tt0242519	2	nm0712546	actor	\N	["Baburao Ganpatrao Apte"]
