tconst	averageRating	numVotes
tt0120737	8.8	1446962
tt0133093	8.7	1441344
tt0166924	8.0	281217
tt0167260	8.9	1430168
tt0167261	8.7	1292839
tt0168629	8.0	90379
tt0169102	8.1	89307
tt0172495	8.5	1161031
tt0180093	8.3	675819
tt0198781	8.1	707554
tt0208092	8.3	695561
tt0209144	8.5	996060
tt0209180	8.0	3176
tt0222012	8.0	9770
tt0242256	8.3	3868
tt0242519	8.2	45773
tt0246578	8.1	677939
tt0253474	8.5	609776
tt0264464	8.1	679907
tt0264476	8.3	2066
tt0266543	8.1	832715
tt0266697	8.1	869155
tt0268978	8.2	740055
tt0270053	8.1	26739
tt0276919	8.0	121929
tt0278736	8.0	9202
tt0282864	8.5	2485
tt0283509	8.0	41211
tt0287467	8.0	95064
tt0296574	8.0	12540
tt0307385	8.1	2112
tt0309061	8.0	3632
tt0310793	8.0	132657
tt0312859	8.5	5841
tt0314067	8.5	11304
tt0317705	8.0	570177
tt0317910	8.2	21087
tt0319061	8.0	382218
tt0319736	8.1	12337
tt0325980	8.0	936766
tt0327056	8.0	378306
tt0329393	8.0	4428
tt0338013	8.3	792691
tt0342804	8.4	1652
tt0343121	8.0	8473
tt0347048	8.0	45958
tt0347149	8.2	269225
tt0347779	8.1	2270
tt0352248	8.0	163119
tt0358456	8.7	15541
tt0361748	8.3	1070753
tt0363163	8.2	293997
tt0363510	8.4	2253
tt0364569	8.4	438259
tt0364647	8.3	3378
tt0366840	8.1	7027
tt0367110	8.3	71715
tt0367495	8.8	11942
tt0368711	8.0	3246
tt0369702	8.0	71332
tt0371392	8.0	1155
tt0372784	8.3	1149747
tt0375611	8.2	29956
tt0376127	8.2	10839
tt0378194	8.0	589929
tt0378647	8.1	1521
tt0379225	8.1	19370
tt0379357	8.0	1789
tt0379370	8.2	7216
tt0379557	8.0	30499
tt0379730	8.0	1255
tt0381061	8.0	525226
tt0381681	8.1	199511
tt0382932	8.0	551811
tt0383846	8.5	8081
tt0384116	8.0	46929
tt0385928	8.0	2444
tt0386032	8.0	70699
tt0386064	8.1	35034
tt0393597	8.0	13625
tt0393775	8.0	7731
tt0395169	8.1	305237
tt0396962	8.3	1219
tt0399040	8.1	1487
tt0400234	8.6	15271
tt0401085	8.0	29691
tt0401383	8.0	96932
tt0401792	8.0	705633
tt0405094	8.4	309958
tt0405159	8.1	567927
